	headline	url	date
0	"
Η όμορφη Ελλάδα μας!
"	https://www.protothema.gr/blogs/p-ilias-makos/article/1135476/i-omorfi-ellada-mas/	2021-06-20T08:56:09+03:00
1	"
Αξιολόγηση οικονομίας: Έπαινοι και διεθνή εγκώμια στη χώρα μας από Εταίρους και ξένους Οίκους
"	https://www.protothema.gr/economy/article/1135294/axiologisi-oikonomias-epainoi-kai-diethni-egomia-sti-hora-mas-apo-etairous-kai-xenous-oikous/	2021-06-19T08:35:00+03:00
2	"
Κοινωνικός Τουρισμός – ΟΑΕΔ: Μέχρι πότε ισχύει η παράταση για τις αιτήσεις
"	https://www.newmoney.gr/roh/palmos-oikonomias/oikonomia/kinonikos-tourismos-oaed-paratasi-gia-tis-etisis-touristikon-katalimaton-ke-aktoploikon-epichiriseon/	2021-06-18T14:58:40+03:00
3	"
Η οικογένεια Σκλαβενίτη που έκανε το Μεγανήσι VIP προορισμό
"	https://www.protothema.gr/gala/article/1134435/sklaveniti-i-oikogeneia-pou-ekane-to-meganisi-vip-proorismo/	2021-06-18T06:23:00+03:00
4	"
Η Γερμανία ανοίγει τα σύνορα για τους πλήρως εμβολιασμένους από τρίτες χώρες
"	https://www.protothema.gr/world/article/1134916/i-germania-anoigei-ta-sunora-gia-tous-pliros-emvoliasmenous-apo-trites-hores/	2021-06-17T23:39:00+03:00
5	"
Κοινωνικός Τουρισμός 2021: Εκπνέει η προθεσμία για τις αιτήσεις – Οδηγίες της τελευταίας στιγμής
"	https://www.newmoney.gr/roh/palmos-oikonomias/oikonomia/kinonikos-tourismos-2021-ekpnei-i-prothesmia-gia-tis-etisis-odigies-tis-telefteas-stigmis/	2021-06-17T11:01:53+03:00
6	"
Self test: Τι αλλάζει από τον Ιούλιο - Ποιοι θα εξαιρεθούν και πώς θα γίνει η διανομή τους
"	https://www.protothema.gr/greece/article/1134659/self-test-ti-allazei-apo-ton-ioulio-poioi-tha-exairethoun-kai-pos-tha-ginei-i-dianomi-tous/	2021-06-17T10:57:00+03:00
7	"
Κοινωνικός Τουρισμός: Διακοπές για 300.000 εργαζόμενους και ανέργους - Λήγει απόψε η προθεσμία
"	https://www.protothema.gr/greece/article/1134646/koinonikos-tourismos-diakopes-gia-300000-ergazomenous-kai-anergous/	2021-06-17T10:37:32+03:00
8	"
Μιχάλης Μανιάτης: Ζω σε μια σπηλιά με υπαίθριο μπάνιο και κουζίνα - Η ζωή του μεταξύ Κίνας και Κυπαρισσίας
"	https://www.protothema.gr/life-style/article/1134635/mihalis-maniatis-zo-se-mia-spilia-me-upaithrio-banio-kai-kouzina-i-zoi-tou-metaxu-kinas-kai-kuparissias/	2021-06-17T09:59:00+03:00
9	"
Ryanair κατά Μπόρις Τζόνσον: Οι πλήρως εμβολιασμένοι Βρετανοί να μπορούν να επισκεφθούν την Ευρώπη
"	https://www.protothema.gr/world/article/1134524/ryanair-kata-boris-tzonson-oi-pliros-emvoliasmenoi-vretanoi-na-boroun-na-episkefthoun-tin-europi/	2021-06-16T21:11:07+03:00
